Grupo,test,TCNO,Output,Decision
GrupoD,z45,1,NA,FALSE
GrupoD,z46,1,NA,FALSE
GrupoD,z48,1,NA,FALSE
GrupoD,z49,1,NA,FALSE
GrupoD,z50,1,NA,FALSE
GrupoD,z51,1,NA,FALSE
GrupoD,z52,0,NA,TRUE
GrupoD,z53,1,NA,FALSE
GrupoD,z54,1,NA,FALSE
GrupoD,z55,1,NA,FALSE
GrupoD,z56,1,NA,FALSE
GrupoD,z57,0,NA,TRUE
GrupoD,z58,1,NA,FALSE
GrupoD,z59,1,NA,FALSE
GrupoE,z00,0,NA,TRUE
GrupoE,z01,0,NA,TRUE
GrupoE,z02,0,NA,TRUE
GrupoE,z03,0,NA,TRUE
GrupoE,z04,0,NA,TRUE
GrupoE,z05,0,NA,TRUE
GrupoE,z06,0,NA,TRUE
GrupoE,z07,0,NA,TRUE
GrupoE,z08,0,NA,TRUE
GrupoE,z09,0,NA,TRUE
GrupoE,z10,0,NA,TRUE
GrupoE,z11,0,NA,TRUE
GrupoE,z12,0,NA,TRUE
GrupoE,z13,0,NA,TRUE
GrupoE,z14,0,NA,TRUE
GrupoE,z15,0,NA,TRUE
GrupoE,z16,0,NA,TRUE
GrupoE,z17,0,NA,TRUE
GrupoE,z18,0,NA,TRUE
GrupoE,z19,0,NA,TRUE
GrupoE,z20,0,NA,TRUE
GrupoE,z21,0,NA,TRUE
GrupoE,z22,0,NA,TRUE
GrupoE,z23,0,NA,TRUE
GrupoE,z24,0,NA,TRUE
GrupoE,z25,0,NA,TRUE
GrupoE,z26,0,NA,TRUE
GrupoE,z27,0,NA,TRUE
GrupoE,z28,0,NA,TRUE
GrupoE,z29,0,NA,TRUE
GrupoE,z30,0,NA,TRUE
GrupoE,z31,0,NA,TRUE
GrupoE,z32,0,NA,TRUE
GrupoE,z33,0,NA,TRUE
GrupoE,z34,0,NA,TRUE
GrupoE,z35,0,NA,TRUE
GrupoE,z36,0,NA,TRUE
GrupoE,z37,0,NA,TRUE
GrupoE,z38,0,NA,TRUE
GrupoE,z39,0,NA,TRUE
GrupoE,z40,0,NA,TRUE
GrupoE,z41,0,NA,TRUE
GrupoE,z42,0,NA,TRUE
GrupoE,z43,0,NA,TRUE
GrupoE,z44,0,NA,TRUE
GrupoE,z45,0,NA,TRUE
GrupoE,z46,0,NA,TRUE
GrupoE,z48,0,NA,TRUE
GrupoE,z49,0,NA,TRUE
GrupoE,z50,0,NA,TRUE
GrupoE,z51,0,NA,TRUE
GrupoE,z52,0,NA,TRUE
GrupoE,z53,0,NA,TRUE
GrupoE,z54,0,NA,TRUE
GrupoE,z55,0,NA,TRUE
GrupoE,z56,0,NA,TRUE
GrupoE,z57,0,NA,TRUE
GrupoE,z58,0,NA,TRUE
GrupoE,z59,0,NA,TRUE
GrupoF,z00,0,NA,TRUE
GrupoF,z01,0,NA,TRUE
GrupoF,z02,2,NA,FALSE
GrupoF,z03,2,NA,FALSE
GrupoF,z04,0,NA,TRUE
GrupoF,z05,2,NA,FALSE
GrupoF,z06,2,NA,FALSE
GrupoF,z07,2,NA,FALSE
GrupoF,z08,2,NA,FALSE
GrupoF,z09,2,NA,FALSE
GrupoF,z10,0,NA,TRUE
GrupoF,z11,0,NA,TRUE
GrupoF,z12,0,NA,TRUE
GrupoF,z13,0,NA,TRUE
GrupoF,z14,1,NA,FALSE
GrupoF,z15,1,NA,FALSE
GrupoF,z16,2,NA,FALSE
GrupoF,z17,2,NA,FALSE
GrupoF,z18,2,NA,FALSE
GrupoF,z19,2,NA,FALSE
GrupoF,z20,2,NA,FALSE
GrupoF,z21,2,NA,FALSE
GrupoF,z22,2,NA,FALSE
GrupoF,z23,2,NA,FALSE
GrupoF,z24,2,NA,FALSE
GrupoF,z25,2,NA,FALSE
GrupoF,z26,2,NA,FALSE
GrupoF,z27,2,NA,FALSE
GrupoF,z28,2,NA,FALSE
GrupoF,z29,2,NA,FALSE
GrupoF,z30,2,NA,FALSE
GrupoF,z31,2,NA,FALSE
