Grupo,test,TCNO,Decision
GrupoE,z42,0,TRUE
GrupoE,z43,0,TRUE
GrupoE,z44,0,TRUE
GrupoE,z45,0,TRUE
GrupoE,z46,0,TRUE
GrupoE,z48,0,TRUE
GrupoE,z49,0,TRUE
GrupoE,z50,0,TRUE
GrupoE,z51,0,TRUE
GrupoE,z52,0,TRUE
GrupoE,z53,0,TRUE
GrupoE,z54,0,TRUE
GrupoE,z55,0,TRUE
GrupoE,z56,0,TRUE
GrupoE,z57,0,TRUE
GrupoE,z58,0,TRUE
GrupoE,z59,0,TRUE
GrupoF,z00,0,TRUE
GrupoF,z01,0,TRUE
GrupoF,z02,2,FALSE
GrupoF,z03,2,FALSE
GrupoF,z04,0,TRUE
GrupoF,z05,2,FALSE
GrupoF,z06,2,FALSE
GrupoF,z07,2,FALSE
GrupoF,z08,2,FALSE
GrupoF,z09,2,FALSE
GrupoF,z10,0,TRUE
GrupoF,z11,0,TRUE
GrupoF,z12,0,TRUE
GrupoF,z13,0,TRUE
GrupoF,z14,1,FALSE
GrupoF,z15,1,FALSE
GrupoF,z16,2,FALSE
GrupoF,z17,2,FALSE
GrupoF,z18,2,FALSE
GrupoF,z19,2,FALSE
GrupoF,z20,2,FALSE
GrupoF,z21,2,FALSE
GrupoF,z22,2,FALSE
GrupoF,z23,2,FALSE
GrupoF,z24,2,FALSE
GrupoF,z25,2,FALSE
GrupoF,z26,2,FALSE
GrupoF,z27,2,FALSE
GrupoF,z28,2,FALSE
GrupoF,z29,2,FALSE
GrupoF,z30,2,FALSE
GrupoF,z31,2,FALSE
GrupoF,z32,2,FALSE
GrupoF,z33,2,FALSE
GrupoF,z34,2,FALSE
GrupoF,z35,2,FALSE
GrupoF,z36,2,FALSE
GrupoF,z37,2,FALSE
GrupoF,z38,2,FALSE
GrupoF,z39,2,FALSE
GrupoF,z40,2,FALSE
GrupoF,z41,2,FALSE
GrupoF,z42,2,FALSE
GrupoF,z43,2,FALSE
GrupoF,z44,2,FALSE
GrupoF,z45,2,FALSE
GrupoF,z46,2,FALSE
GrupoF,z48,2,FALSE
GrupoF,z49,2,FALSE
GrupoF,z50,2,FALSE
GrupoF,z51,1,FALSE
GrupoF,z52,0,TRUE
GrupoF,z53,0,TRUE
GrupoF,z54,2,FALSE
GrupoF,z55,2,FALSE
GrupoF,z56,1,FALSE
GrupoF,z57,2,FALSE
GrupoF,z58,0,TRUE
GrupoF,z59,0,TRUE
GrupoG,z00,0,TRUE
GrupoG,z01,0,TRUE
GrupoG,z02,0,TRUE
GrupoG,z03,0,TRUE
GrupoG,z04,0,TRUE
GrupoG,z05,0,TRUE
GrupoG,z06,0,TRUE
GrupoG,z07,0,TRUE
GrupoG,z08,0,TRUE
GrupoG,z09,0,TRUE
GrupoG,z10,0,TRUE
GrupoG,z11,0,TRUE
GrupoG,z12,0,TRUE
GrupoG,z13,0,TRUE
GrupoG,z14,0,TRUE
GrupoG,z15,0,TRUE
GrupoG,z16,0,TRUE
GrupoG,z17,0,TRUE
GrupoG,z18,0,TRUE
GrupoG,z19,0,TRUE
GrupoG,z20,0,TRUE
GrupoG,z21,0,TRUE
GrupoG,z22,0,TRUE
GrupoG,z23,0,TRUE
GrupoG,z24,0,TRUE
GrupoG,z25,0,TRUE
GrupoG,z26,0,TRUE
GrupoG,z27,0,TRUE
GrupoG,z28,0,TRUE
GrupoG,z29,0,TRUE
GrupoG,z30,0,TRUE
GrupoG,z31,0,TRUE
GrupoG,z32,0,TRUE
GrupoG,z33,0,TRUE
GrupoG,z34,0,TRUE
GrupoG,z35,0,TRUE
GrupoG,z36,0,TRUE
GrupoG,z37,0,TRUE
GrupoG,z38,0,TRUE
GrupoG,z39,0,TRUE
GrupoG,z40,0,TRUE
GrupoG,z41,0,TRUE
GrupoG,z42,0,TRUE
GrupoG,z43,0,TRUE
GrupoG,z44,0,TRUE
GrupoG,z45,0,TRUE
GrupoG,z46,0,TRUE
GrupoG,z48,0,TRUE
GrupoG,z49,0,TRUE
GrupoG,z50,0,TRUE
GrupoG,z51,0,TRUE
GrupoG,z52,0,TRUE
GrupoG,z53,0,TRUE
GrupoG,z54,0,TRUE
GrupoG,z55,0,TRUE
GrupoG,z56,0,TRUE
GrupoG,z57,0,TRUE
GrupoG,z58,0,TRUE
GrupoG,z59,0,TRUE
GrupoH,z00,0,TRUE
GrupoH,z01,0,TRUE
GrupoH,z02,0,TRUE
GrupoH,z03,0,TRUE
GrupoH,z04,0,TRUE
GrupoH,z05,0,TRUE
GrupoH,z06,0,TRUE
GrupoH,z07,0,TRUE
GrupoH,z08,0,TRUE
GrupoH,z09,0,TRUE
GrupoH,z10,0,TRUE
GrupoH,z11,0,TRUE
GrupoH,z12,0,TRUE
GrupoH,z13,0,TRUE
GrupoH,z14,0,TRUE
GrupoH,z15,0,TRUE
GrupoH,z16,0,TRUE
GrupoH,z17,0,TRUE
GrupoH,z18,0,TRUE
GrupoH,z19,0,TRUE
GrupoH,z20,0,TRUE
GrupoH,z21,0,TRUE
GrupoH,z22,0,TRUE
GrupoH,z23,0,TRUE
GrupoH,z24,0,TRUE
GrupoH,z25,0,TRUE
GrupoH,z26,0,TRUE
GrupoH,z27,0,TRUE
GrupoH,z28,0,TRUE
GrupoH,z29,0,TRUE
GrupoH,z30,0,TRUE
GrupoH,z31,0,TRUE
GrupoH,z32,0,TRUE
GrupoH,z33,0,TRUE
GrupoH,z34,0,TRUE
GrupoH,z35,0,TRUE
